34,35,36,35,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,35,34,35,36
34,35,36,35,36,1004,1004,1004,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,34,34,35,36
34,35,36,35,35,1004,857,876,876,876,876,876,876,876,876,876,876,876,876,876,876,877,69,69,69,69,50,34,35,36
34,35,36,35,1004,1004,-1073740857,903,904,904,904,904,904,904,904,904,904,904,904,904,-1610611833,967,51,67,68,69,37,34,35,36
34,35,36,35,1004,1004,-1073740857,1610613650,10,10,10,10,10,10,10,10,10,10,10,10,-1610611822,967,1002,67,68,69,53,37,35,36
34,35,36,35,1004,36,-1073740857,1610613650,10,10,10,10,10,10,10,10,10,10,10,10,-1610611822,967,67,68,69,69,69,53,35,36
34,35,36,35,969,1004,-1073740857,1610613650,10,10,10,10,10,10,10,10,10,10,10,10,-1610611822,967,51,67,68,69,36,37,51,52
34,35,36,35,969,1004,-1073740857,1610613650,10,10,10,10,10,10,10,10,10,10,10,10,-1610611822,967,67,68,69,35,36,37,67,68
34,35,36,35,969,969,-1073740857,1610613650,0,1,2,3,4,5,6,0,1,2,3,4,-1610611822,967,67,68,69,35,36,37,67,68
34,35,969,969,969,969,-1073740857,1610613650,7,8,9,10,11,12,13,7,8,9,10,11,-1610611822,967,67,68,69,35,36,37,37,68
34,35,36,969,969,969,-1073740857,1610613652,14,15,16,17,18,19,20,14,15,16,17,18,-1610611822,967,67,68,69,35,36,37,53,68
34,35,36,35,969,969,-1073740857,1610613650,21,22,23,24,25,26,27,21,22,23,24,25,-1610611822,967,67,68,69,36,37,53,69,68
34,35,36,35,67,1004,-1073740857,1610613650,28,29,30,31,32,33,34,28,29,30,31,32,-1610611822,967,67,68,69,36,37,69,67,68
34,35,36,51,67,68,-1073740857,1610613650,35,36,37,38,39,40,41,35,36,37,38,39,-1610611824,967,67,68,69,37,37,69,67,68
34,35,35,67,67,68,-1073740902,1610613639,-1073740911,-1073740911,-1073740911,-1073740911,-1073740911,1073741824,1073741824,-1073740911,-1073740911,-1073740911,-1073740911,-1073740911,-1073740921,967,67,68,69,37,53,66,67,68
34,35,35,67,68,69,-1073740947,-1073740948,-1073740948,-1073740948,-1073740948,-1073740948,-1073740948,1073741824,1073741824,-1073740948,-1073740948,-1073740948,-1073740948,-1073740948,-1073740948,-1073740967,37,68,69,53,69,35,36,37
34,35,51,51,67,1005,1005,1005,1005,1005,1005,1005,35,35,35,1004,51,51,51,51,1004,1002,53,68,69,69,35,36,37,37
34,34,67,67,67,1005,1005,1005,1005,1005,1005,1005,51,51,51,51,67,67,67,67,67,68,69,68,69,34,51,52,53,53
50,50,50,50,50,1005,1005,1005,1005,1005,1005,1005,67,67,67,67,67,68,69,69,50,34,34,34,50,50,67,68,69,69
66,66,66,66,66,66,1005,1005,1005,1005,66,50,50,66,66,66,66,66,66,66,66,50,50,50,66,66,66,67,68,69
